variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable16,variable17,variable18,classLabel
2,17.92,5.40E-05,1,1,1,1,1.75,2,1,1,1,1,80,5,8.00E+05,1,0,2
1,31.25,0.0001125,1,1,22,22,0,2,1,1,2,1,96,19,960000,1,0,2
1,32.33,0.00035,1,1,11,1,0.5,2,2,0,1,1,232,0,2320000,2,0,2
2,34.83,0.000125,2,2,9,2,0.5,2,2,0,1,1,160,0,1600000,2,0,2
2,24.75,0.0013665,1,1,2,2,1.5,2,2,0,2,1,280,1,2800000,2,0,2
2,31.75,3.00E-04,2,2,9,9,0,2,2,0,2,1,160,20,1600000,2,0,2
2,18.17,0.001,2,2,2,2,0.165,2,2,0,2,1,340,0,3400000,2,0,2
1,17.58,0.001,1,1,5,2,0.165,2,1,1,2,1,120,1,1200000,1,0,2
1,26.67,0.0014585,1,1,9,3,0,2,2,0,1,1,178,0,1780000,2,0,2
1,31.42,0.00155,1,1,1,1,0.5,1,2,0,2,1,120,0,1200000,2,0,2
1,25.67,0.000325,1,1,1,2,2.29,2,1,1,1,1,416,21,4160000,1,0,2
1,33.75,0.000275,1,1,9,3,0,2,2,0,2,1,180,0,1800000,2,0,2
1,32.75,0.0002335,1,1,7,2,5.75,2,2,0,1,1,292,0,2920000,2,0,2
2,24.33,0.00025,2,2,9,3,4.5,2,2,0,2,1,200,456,2.00E+06,2,0,2
2,15.75,3.75E-05,1,1,1,1,1,2,2,0,2,1,120,18,1200000,2,0,2
2,49,0.00015,1,1,9,9,0,1,2,0,1,1,100,27,1.00E+06,2,0,2
2,16.5,0.000125,1,1,2,1,0.25,2,1,1,2,1,108,98,1080000,1,0,2
1,25.67,0.000221,2,2,6,1,4,1,2,0,2,1,188,0,1880000,2,0,2
1,26.17,8.35E-05,1,1,3,1,1.165,2,2,0,2,1,100,0,1.00E+06,2,0,2
1,45,0.00085,1,1,3,2,14,1,1,1,1,1,88,2000,880000,1,1,1
2,25,8.75E-05,1,1,4,2,1.04,1,2,0,1,1,160,5860,1600000,2,1,1
1,18,1.65E-05,1,1,2,5,0.21,2,2,0,2,1,200,40,2.00E+06,2,1,1
2,56.5,0.0016,1,1,9,22,0,1,1,15,2,1,0,247,0,1,1,1
1,25.75,5.00E-05,1,1,1,1,1.46,1,1,5,1,1,312,0,3120000,1,1,1
1,33.17,0.000304,2,2,1,2,2.04,1,1,1,1,1,180,18027,1800000,1,1,1
1,59.67,0.000154,1,1,2,1,0.125,1,2,0,1,1,260,0,2600000,2,1,1
2,37.75,0.00055,1,1,2,1,0.125,1,2,0,1,1,228,0,2280000,2,1,1
1,47.67,2.90E-05,1,1,1,3,15,1,1,20,2,1,0,15000,0,1,1,1
1,23.25,1.00E-04,1,1,1,1,0.835,1,2,0,2,2,300,0,3.00E+06,2,1,1
1,22.67,0.000254,2,2,1,2,2.585,1,2,0,2,1,0,0,0,2,1,1
2,60.92,5.00E-04,1,1,6,1,4,1,1,4,2,1,0,99,0,1,1,1
2,33.25,0.00025,2,2,1,1,2.5,2,2,0,1,1,0,2,0,2,0,2
2,69.5,6.00E-04,1,1,22,22,0,2,2,0,2,2,0,0,0,2,0,2
1,20.67,8.35E-05,2,2,1,1,2,2,2,0,1,2,240,0,2400000,2,0,2
1,48.75,0.0026335,2,2,22,22,0,1,2,0,1,1,0,0,0,2,0,2
1,51.83,3.00E-04,2,2,22,22,1.5,2,2,0,2,1,180,4,1800000,2,0,2
2,27.67,0.000204,1,1,5,1,0.25,2,2,0,1,1,180,50,1800000,2,0,2
1,28.75,0.00015,2,2,1,1,1.5,1,2,0,1,1,0,225,0,2,0,2
1,37.75,7.00E-04,1,1,2,2,11.5,1,1,7,1,1,300,5,3.00E+06,1,0,2
1,23.5,0.000275,1,1,22,22,4.5,2,2,0,2,1,160,25,1600000,2,0,2
1,18.83,4.15E-05,2,2,1,1,0.165,2,1,1,2,1,200,1,2.00E+06,1,0,2
1,26.75,0.00045,2,2,1,3,2.5,2,2,0,2,1,200,1210,2.00E+06,2,0,2
2,27.17,0.000125,1,1,22,22,0,2,1,1,2,1,92,300,920000,1,0,2
1,47.17,0.0005835,1,1,5,1,5.5,2,2,0,2,1,465,150,4650000,2,0,2
1,26.33,0.0013,1,1,12,8,0,2,2,0,1,1,140,1110,1400000,2,0,2
1,35.25,0.0003165,1,1,4,2,3.75,1,2,0,1,1,680,0,6800000,2,0,2
1,18.83,0.000354,2,2,22,22,0,2,2,0,1,1,180,1,1800000,2,0,2
